position,data/towovabiqe,data/towovabiqe-inverted,data/current
155,14934,11950,12139.385267945227
156,0,0,12085.996297550488
157,14752,12132,12032.781516601977
158,14570,12314,11979.739792157205
159,14470,12414,11926.870002290983
160,14444,12440,11874.171035953046
161,14308,12576,11821.641792827952
162,0,0,11769.28118319723
163,14181,12703,11717.088127803745
164,0,0,11665.061557718216
165,14039,12845,11613.200414207859
166,13937,12947,11561.503648607117
167,13671,13213,11509.970222190417
168,13658,13226,11458.599106046959
169,0,0,11407.389280957434
170,13554,13330,11356.339737272701
171,13470,13414,11305.449474794346
172,13355,13529,11254.717502657099
173,0,0,11204.142839213055
174,13097,13787,11153.724511917742
175,13087,13797,11103.461557217863
176,13083,13801,11053.353020440842
177,13045,13839,11003.397955685989
178,13003,13881,10953.5954257174
179,0,0,10903.944501858408
180,12995,13889,10854.444263887719
181,12993,13891,10805.09379993704
182,0,0,10755.89220639032
183,12727,14157,10706.83858778444
184,12689,14195,10657.93205671147
185,12660,14224,10609.171733722294
186,12643,14241,10560.55674723177
187,0,0,10512.086233425207
188,12634,14250,10463.759336166306
189,12495,14389,10415.575206906386
190,12116,14768,10367.533004595032
191,12008,14876,10319.631895591972
192,0,0,10271.87105358031
193,11838,15046,10224.249659480958
194,11687,15197,10176.766901368404
195,11605,15279,10129.42197438761
196,11426,15458,10082.214080672173
197,11314,15570,10035.14242926364
198,0,0,9988.206236032001
199,0,0,9941.404723597301
200,0,0,9894.737121252403
201,11155,15729,9848.20266488681
202,11094,15790,9801.80059691163
203,10987,15897,9755.530166185534
204,10839,16045,9709.390627941833
205,10769,16115,9663.381243716527
206,10755,16129,9617.501281277406
207,0,0,9571.7500145541
208,0,0,9526.126723569172
209,0,0,9480.630694370104
210,10740,16144,9435.261218962285
211,10623,16261,9390.017595242873
212,10527,16357,9344.89912693564
213,10414,16470,9299.905123526643
214,10413,16471,9255.034900200844
215,10407,16477,9210.287777779544
216,10401,16483,9165.66308265872
217,10377,16507,9121.160146748174
218,10369,16515,9076.778307411521
219,0,0,9032.516907406978
220,10367,16517,8988.375294828986
221,10326,16558,8944.352823050569
222,10322,16562,8900.44885066654
223,10208,16676,8856.66274143738
224,0,0,8812.993864233958
225,10079,16805,8769.441592982916
226,10061,16823,8726.005306612833
227,9855,17029,8682.684389001071
228,0,0,8639.478228921353
229,9725,17159,8596.38621999199
230,9718,17166,8553.407760624852
231,9652,17232,8510.542253974945
232,0,0,8467.789107890709
233,9355,17529,8425.147734864902
234,9326,17558,8382.617551986195
235,0,0,8340.19798089133
236,9310,17574,8297.888447717944
237,9072,17812,8255.688383057983
238,0,0,8213.597221911732
239,8951,17933,8171.614403642402
240,8755,18129,8129.739371931357
241,8752,18132,8087.971574733849
242,0,0,8046.310464235383
243,8591,18293,8004.755496808575
244,0,0,7963.306132970621
245,8535,18349,7921.9618373412395
246,8446,18438,7880.72207860121
247,8426,18458,7839.586329451381
248,0,0,7798.554066572233
249,8256,18628,7757.624770583917
250,8247,18637,7716.797926006828
251,0,0,7676.0730212226235
252,8245,18639,7635.4495484357885
253,8214,18670,7594.927003635611
254,8055,18829,7554.504886558691
255,0,0,7514.182700651863
256,8006,18878,7473.959953035613
257,7941,18943,7433.836154467909
258,7842,19042,7393.8108193085245
259,7796,19088,7353.883465483737
260,0,0,7314.053614451523
261,7485,19399,7274.320791167112
262,7425,19459,7234.68452404902
263,0,0,7195.144344945444
